Date,Hour,PV Generation (MW),Wind Generation (MW)
1-Jan,0,0.000,0.531
1-Jan,1,0.000,0.551
1-Jan,2,0.000,0.581
1-Jan,3,0.000,0.626
1-Jan,4,0.000,0.662
1-Jan,5,0.000,0.703
1-Jan,6,0.000,0.719
1-Jan,7,0.003,0.734
1-Jan,8,0.018,0.732
1-Jan,9,0.043,0.753
1-Jan,10,0.065,0.785
1-Jan,11,0.071,0.797
1-Jan,12,0.064,0.815
1-Jan,13,0.041,0.826
1-Jan,14,0.014,0.824
1-Jan,15,0.001,0.848
1-Jan,16,0.000,0.860
1-Jan,17,0.000,0.862
1-Jan,18,0.000,0.855
1-Jan,19,0.000,0.854
1-Jan,20,0.000,0.851
1-Jan,21,0.000,0.826
1-Jan,22,0.000,0.826
1-Jan,23,0.000,0.790
2-Jan,0,0.000,0.760
2-Jan,1,0.000,0.732
2-Jan,2,0.000,0.709
2-Jan,3,0.000,0.715
2-Jan,4,0.000,0.729
2-Jan,5,0.000,0.744
2-Jan,6,0.000,0.733
2-Jan,7,0.003,0.711
2-Jan,8,0.047,0.686
2-Jan,9,0.132,0.672
2-Jan,10,0.201,0.677
2-Jan,11,0.220,0.688
2-Jan,12,0.199,0.675
2-Jan,13,0.135,0.632
2-Jan,14,0.048,0.574
2-Jan,15,0.003,0.540
2-Jan,16,0.000,0.515
2-Jan,17,0.000,0.475
2-Jan,18,0.000,0.426
2-Jan,19,0.000,0.392
2-Jan,20,0.000,0.356
2-Jan,21,0.000,0.322
2-Jan,22,0.000,0.299
2-Jan,23,0.000,0.283
3-Jan,0,0.000,0.269
3-Jan,1,0.000,0.260
3-Jan,2,0.000,0.263
3-Jan,3,0.000,0.278
3-Jan,4,0.000,0.289
3-Jan,5,0.000,0.297
3-Jan,6,0.000,0.301
3-Jan,7,0.006,0.299
3-Jan,8,0.051,0.284
3-Jan,9,0.111,0.242
3-Jan,10,0.150,0.206
3-Jan,11,0.151,0.185
3-Jan,12,0.131,0.167
3-Jan,13,0.086,0.151
3-Jan,14,0.027,0.157
3-Jan,15,0.001,0.180
3-Jan,16,0.000,0.210
3-Jan,17,0.000,0.217
3-Jan,18,0.000,0.209
3-Jan,19,0.000,0.205
3-Jan,20,0.000,0.195
3-Jan,21,0.000,0.170
3-Jan,22,0.000,0.157
3-Jan,23,0.000,0.151
4-Jan,0,0.000,0.170
4-Jan,1,0.000,0.187
4-Jan,2,0.000,0.216
4-Jan,3,0.000,0.251
4-Jan,4,0.000,0.288
4-Jan,5,0.000,0.331
4-Jan,6,0.000,0.381
4-Jan,7,0.003,0.414
4-Jan,8,0.022,0.435
4-Jan,9,0.049,0.466
4-Jan,10,0.068,0.504
4-Jan,11,0.067,0.544
4-Jan,12,0.053,0.568
4-Jan,13,0.031,0.565
4-Jan,14,0.010,0.557
4-Jan,15,0.001,0.565
4-Jan,16,0.000,0.572
4-Jan,17,0.000,0.566
4-Jan,18,0.000,0.553
4-Jan,19,0.000,0.548
4-Jan,20,0.000,0.547
4-Jan,21,0.000,0.551
4-Jan,22,0.000,0.582
4-Jan,23,0.000,0.606
5-Jan,0,0.000,0.619
5-Jan,1,0.000,0.644
5-Jan,2,0.000,0.670
5-Jan,3,0.000,0.689
5-Jan,4,0.000,0.680
5-Jan,5,0.000,0.692
5-Jan,6,0.000,0.659
5-Jan,7,0.002,0.629
5-Jan,8,0.012,0.597
5-Jan,9,0.028,0.564
5-Jan,10,0.046,0.540
5-Jan,11,0.052,0.512
5-Jan,12,0.042,0.493
5-Jan,13,0.025,0.461
5-Jan,14,0.008,0.424
5-Jan,15,0.000,0.410
5-Jan,16,0.000,0.401
5-Jan,17,0.000,0.394
5-Jan,18,0.000,0.376
5-Jan,19,0.000,0.363
5-Jan,20,0.000,0.349
5-Jan,21,0.000,0.327
5-Jan,22,0.000,0.311
5-Jan,23,0.000,0.297
6-Jan,0,0.000,0.279
6-Jan,1,0.000,0.260
6-Jan,2,0.000,0.249
6-Jan,3,0.000,0.240
6-Jan,4,0.000,0.230
6-Jan,5,0.000,0.205
6-Jan,6,0.000,0.184
6-Jan,7,0.003,0.167
6-Jan,8,0.023,0.151
6-Jan,9,0.055,0.131
6-Jan,10,0.078,0.124
6-Jan,11,0.084,0.133
6-Jan,12,0.072,0.141
6-Jan,13,0.045,0.142
6-Jan,14,0.015,0.141
6-Jan,15,0.001,0.148
6-Jan,16,0.000,0.167
6-Jan,17,0.000,0.181
6-Jan,18,0.000,0.189
6-Jan,19,0.000,0.192
6-Jan,20,0.000,0.191
6-Jan,21,0.000,0.178
6-Jan,22,0.000,0.176
6-Jan,23,0.000,0.188
7-Jan,0,0.000,0.203
7-Jan,1,0.000,0.213
7-Jan,2,0.000,0.220
7-Jan,3,0.000,0.221
7-Jan,4,0.000,0.225
7-Jan,5,0.000,0.225
7-Jan,6,0.000,0.213
7-Jan,7,0.002,0.200
7-Jan,8,0.021,0.187
7-Jan,9,0.049,0.183
7-Jan,10,0.068,0.197
7-Jan,11,0.073,0.230
7-Jan,12,0.063,0.260
7-Jan,13,0.040,0.291
7-Jan,14,0.014,0.343
7-Jan,15,0.001,0.408
7-Jan,16,0.000,0.492
7-Jan,17,0.000,0.573
7-Jan,18,0.000,0.649
7-Jan,19,0.000,0.726
7-Jan,20,0.000,0.782
7-Jan,21,0.000,0.779
7-Jan,22,0.000,0.797
7-Jan,23,0.000,0.805
8-Jan,0,0.000,0.801
8-Jan,1,0.000,0.800
8-Jan,2,0.000,0.807
8-Jan,3,0.000,0.808
8-Jan,4,0.000,0.812
8-Jan,5,0.000,0.850
8-Jan,6,0.000,0.876
8-Jan,7,0.003,0.895
8-Jan,8,0.024,0.911
8-Jan,9,0.058,0.915
8-Jan,10,0.082,0.916
8-Jan,11,0.096,0.925
8-Jan,12,0.087,0.917
8-Jan,13,0.057,0.897
8-Jan,14,0.020,0.889
8-Jan,15,0.002,0.902
8-Jan,16,0.000,0.899
8-Jan,17,0.000,0.889
8-Jan,18,0.000,0.885
8-Jan,19,0.000,0.879
8-Jan,20,0.000,0.865
8-Jan,21,0.000,0.821
8-Jan,22,0.000,0.810
8-Jan,23,0.000,0.801
9-Jan,0,0.000,0.780
9-Jan,1,0.000,0.767
9-Jan,2,0.000,0.759
