Date,Hour,Demand (MW)
1/1/2019,0,41654
1/1/2019,1,40114
1/1/2019,2,39313
1/1/2019,3,39097
1/1/2019,4,38634
1/1/2019,5,38121
1/1/2019,6,38875
1/1/2019,7,39692
1/1/2019,8,42236
1/1/2019,9,44925
1/1/2019,10,47791
1/1/2019,11,49123
1/1/2019,12,48792
1/1/2019,13,48534
1/1/2019,14,48966
1/1/2019,15,50692
1/1/2019,16,53896
1/1/2019,17,54664
1/1/2019,18,53651
1/1/2019,19,51350
1/1/2019,20,49736
1/1/2019,21,48739
1/1/2019,22,45956
1/1/2019,23,43827
1/2/2019,0,42324
1/2/2019,1,41937
1/2/2019,2,42428
1/2/2019,3,43855
1/2/2019,4,46930
1/2/2019,5,52716
1/2/2019,6,58169
1/2/2019,7,61515
1/2/2019,8,63430
1/2/2019,9,64472
1/2/2019,10,65790
1/2/2019,11,66050
1/2/2019,12,65316
1/2/2019,13,64114
1/2/2019,14,63969
1/2/2019,15,65187
1/2/2019,16,68440
1/2/2019,17,68114
1/2/2019,18,66439
1/2/2019,19,62700
1/2/2019,20,59542
1/2/2019,21,57631
1/2/2019,22,53962
1/2/2019,23,51017
1/3/2019,0,50041
1/3/2019,1,49757
1/3/2019,2,49656
1/3/2019,3,50432
1/3/2019,4,53048
1/3/2019,5,57845
1/3/2019,6,62226
1/3/2019,7,64801
1/3/2019,8,66088
1/3/2019,9,66674
1/3/2019,10,67568
1/3/2019,11,67803
1/3/2019,12,66633
1/3/2019,13,65575
1/3/2019,14,65010
1/3/2019,15,66310
1/3/2019,16,69375
1/3/2019,17,69054
1/3/2019,18,67117
1/3/2019,19,63484
1/3/2019,20,60590
1/3/2019,21,58234
1/3/2019,22,54948
1/3/2019,23,51869
1/4/2019,0,50036
1/4/2019,1,49525
1/4/2019,2,49951
1/4/2019,3,51043
1/4/2019,4,53378
1/4/2019,5,58291
1/4/2019,6,63626
1/4/2019,7,66821
1/4/2019,8,68350
1/4/2019,9,69066
1/4/2019,10,69699
1/4/2019,11,70268
1/4/2019,12,69055
